json_file,gimbal_yaw,gimbal_yaw_360,flight_yaw,flight_yaw_360,error
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135740_0429_T.JPG.json,85.7,85.7,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135741_0430_T.JPG.json,-94.4,265.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135742_0431_T.JPG.json,-94.4,265.6,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135745_0433_T.JPG.json,-94.2,265.8,90.5,90.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135751_0438_T.JPG.json,-93.7,266.3,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135752_0439_T.JPG.json,-93.6,266.4,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135753_0440_T.JPG.json,-93.5,266.5,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135755_0441_T.JPG.json,86.5,86.5,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135756_0442_T.JPG.json,86.5,86.5,-91.5,268.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135802_0447_T.JPG.json,-93.5,266.5,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135803_0448_T.JPG.json,-93.5,266.5,-91.3,268.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135805_0449_T.JPG.json,86.9,86.9,-93.2,266.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135806_0450_T.JPG.json,42.8,42.8,-143.7,216.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135807_0451_T.JPG.json,129.1,129.1,128.0,128.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135808_0452_T.JPG.json,-94.0,266.0,91.0,91.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135809_0453_T.JPG.json,84.7,84.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135811_0454_T.JPG.json,-95.4,264.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135814_0457_T.JPG.json,-95.3,264.7,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135816_0458_T.JPG.json,-95.3,264.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135817_0459_T.JPG.json,-95.3,264.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135818_0460_T.JPG.json,84.7,84.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135819_0461_T.JPG.json,-95.4,264.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135821_0462_T.JPG.json,84.7,84.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135824_0465_T.JPG.json,-95.5,264.5,90.8,90.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135830_0470_T.JPG.json,-88.3,271.7,-91.5,268.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135832_0471_T.JPG.json,91.8,91.8,-91.0,269.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135833_0472_T.JPG.json,-88.1,271.9,-91.3,268.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135834_0473_T.JPG.json,-88.1,271.9,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135842_0479_T.JPG.json,91.9,91.9,-91.5,268.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135843_0480_T.JPG.json,91.9,91.9,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135844_0481_T.JPG.json,93.5,93.5,-90.2,269.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135845_0482_T.JPG.json,-168.5,191.5,-176.1,183.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135847_0483_T.JPG.json,101.2,101.2,96.0,96.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135848_0484_T.JPG.json,92.8,92.8,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135850_0486_T.JPG.json,92.4,92.4,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135855_0490_T.JPG.json,-87.8,272.2,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135856_0491_T.JPG.json,-87.9,272.1,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135858_0492_T.JPG.json,92.0,92.0,89.8,89.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135859_0493_T.JPG.json,-87.9,272.1,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135910_0502_T.JPG.json,-90.9,269.1,-91.8,268.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135911_0503_T.JPG.json,-89.5,270.5,-90.6,269.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135912_0504_T.JPG.json,-88.5,271.5,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135914_0505_T.JPG.json,-88.4,271.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135919_0509_T.JPG.json,-88.3,271.7,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135921_0511_T.JPG.json,-109.1,250.9,-117.4,242.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135928_0517_T.JPG.json,85.4,85.4,92.7,92.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135930_0518_T.JPG.json,-94.6,265.4,92.6,92.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135931_0519_T.JPG.json,84.4,84.4,92.2,92.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135932_0520_T.JPG.json,147.8,147.8,163.2,163.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135933_0521_T.JPG.json,-106.1,253.9,-104.8,255.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135935_0522_T.JPG.json,-85.4,274.6,-90.2,269.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135942_0528_T.JPG.json,-176.4,183.6,179.5,179.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135949_0534_T.JPG.json,-93.7,266.3,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135951_0535_T.JPG.json,-93.8,266.2,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135952_0536_T.JPG.json,-93.8,266.2,90.0,90.0,
