json_file,gimbal_yaw,gimbal_yaw_360,flight_yaw,flight_yaw_360,error
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135109_0112_T.JPG.json,77.6,77.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135123_0124_T.JPG.json,-87.4,272.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135125_0125_T.JPG.json,-87.4,272.6,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135128_0128_T.JPG.json,-87.3,272.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135130_0129_T.JPG.json,92.7,92.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135133_0132_T.JPG.json,92.7,92.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135134_0133_T.JPG.json,92.8,92.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135136_0134_T.JPG.json,92.8,92.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135137_0135_T.JPG.json,-86.9,273.1,-91.7,268.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135138_0136_T.JPG.json,177.8,177.8,174.0,174.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135139_0137_T.JPG.json,94.0,94.0,95.1,95.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135142_0139_T.JPG.json,86.7,86.7,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135143_0140_T.JPG.json,86.7,86.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135147_0143_T.JPG.json,-93.4,266.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135152_0147_T.JPG.json,-93.4,266.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135154_0149_T.JPG.json,-93.4,266.6,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135208_0160_T.JPG.json,92.8,92.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135215_0166_T.JPG.json,-156.7,203.3,-164.5,195.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135216_0167_T.JPG.json,108.4,108.4,102.4,102.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135218_0168_T.JPG.json,-87.0,273.0,91.8,91.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135220_0170_T.JPG.json,92.6,92.6,91.6,91.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135221_0171_T.JPG.json,92.6,92.6,91.7,91.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135223_0172_T.JPG.json,92.6,92.6,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135224_0173_T.JPG.json,-87.4,272.6,91.6,91.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135228_0176_T.JPG.json,-87.4,272.6,91.6,91.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135236_0183_T.JPG.json,-89.6,270.4,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135239_0185_T.JPG.json,-89.4,270.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135240_0186_T.JPG.json,-89.4,270.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135241_0187_T.JPG.json,-89.3,270.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135242_0188_T.JPG.json,-89.3,270.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135244_0189_T.JPG.json,90.7,90.7,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135256_0199_T.JPG.json,86.1,86.1,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135257_0200_T.JPG.json,86.0,86.0,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135258_0201_T.JPG.json,86.0,86.0,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135300_0202_T.JPG.json,86.0,86.0,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135301_0203_T.JPG.json,85.9,85.9,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135302_0204_T.JPG.json,-94.1,265.9,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135303_0205_T.JPG.json,-94.1,265.9,90.0,90.0,
